Top 10,For therapists,Book Title,Author,Key themes,Genre,Description,ISBN,Amazon Price,Target Age
x,,"A Boy Called Bat (The Bat Series, 1)","Elana K. Arnold, Charles Santoso",Autism,,"Every child will root for Bat as he navigates the challenges that come with friendship and change, not to mention skunk parenting. ",9780062445827,$6.99,Elementary
,,"Bat and the Waiting Game (The Bat Series, 2)","Elana K. Arnold, Charles Santoso",Autism,,An irresistible story of friendship in this widely acclaimed series starring an unforgettable boy on the autism spectrum.,9780062445865,$6.99,Elementary
,,"Bat and the End of Everything (The Bat Series, 3)","Elana K. Arnold, Charles Santoso",Autism,,"Follows Bat, an autistic boy, as he navigates change and emotional challenges, emphasising self-acceptance and adaptability.",9780062798459,$18.16,Elementary
x,x,A Day With No Words,"Tiffany Hammond, Kate Cosgrove",Autism,,"Portrays a nonverbal autistic child, showing the many ways we can communicate without words, building understanding and empathy.",9781736949795,,Elementary
,,A Shelter for Sadness,"Anne Booth, David Litchfield",Depression,,"Encourages children to acknowledge and sit with their sadness, providing a compassionate approach to managing difficult emotions.",9781682633397,$15.99,Elementary
,,"A Whole New Ballgame: A Rip and Red Book (Rip and Red, 1)","Phil Bildner, Tim Probert",Autism,,"Features diverse characters, including a boy with autism and another with ADHD, celebrating their friendship and unique strengths.",9781250079763,,Elementary
x,x,"Aaron Slater, Illustrator: A Picture Book (The Questioneers)","Andrea Beaty, David Roberts",Dyslexia,Fiction,"An uplifting story about the power of art, finding your voice, and telling your story even when you’re out of step with your peers",9781419753961,$12.90,Elementary
,,"Ada Twist, Scientist: A Picture Book (The Questioneers)","Andrea Beaty, David Roberts",Neurodivergent Thinking,Fiction,"Ada’s insatiable curiosity and questioning mindset exemplify a neurodivergent approach to learning, celebrating her endless creativity.",9781419721373,$10.58,Elementary
,,"Benji, the Bad Day, and Me","Sally J. Pla, Ken Min",Autism,,"A story about siblings, where one child has autism, showing the importance of empathy and understanding family dynamics.",9781620143452,$11.95,Elementary
x,x,Brilliant Bea: A Story for Kids With Dyslexia and Learning Differences,"Shaina Rudolph, Mary Vukadinovich",Dyslexia,,"Celebrates the strengths of children with dyslexia, showing that learning can be approached differently, and differences are powerful.",9781433837418,$14.75,Elementary
,x,"Come On, Calm!",Kelsey Brown,Emotional Regulation ,Self help,"Explores techniques for self-regulation, helping children understand ways to calm themselves when overwhelmed or stressed.",9781643072470,$14.95,Elementary
,x,Don't Hug Doug: (He Doesn't Like It),"Carrie Finison, Daniel Wiseman",Sensory Processing Challenges,,"Teaches the importance of respecting personal boundaries, especially for children with sensory sensitivities who may dislike physical touch.",9781984813022,$12.49,Elementary
